time,x,y,z
0.295,4.89864,-0.205372,2.09352
0.296,4.91536,0.0670671,2.11035
0.296,4.91329,-0.205665,2.09734
0.297,4.93001,0.0667732,2.11418
0.297,4.92793,-0.205958,2.10116
0.298,4.94465,0.0664791,2.118
0.298,4.94257,-0.206252,2.10497
0.299,4.95927,0.0661847,2.12182
0.299,4.95719,-0.206546,2.10879
0.3,4.97389,0.0658901,2.12564
0.3,4.9718,-0.20684,2.1126
0.301,4.9885,0.0655953,2.12945
0.301,4.9864,-0.207134,2.1164
0.302,5.00309,0.0653003,2.13326
0.302,5.00099,-0.207429,2.1202
0.303,5.01768,0.065005,2.13707
0.303,5.01557,-0.207724,2.124
0.304,5.03226,0.0647095,2.14088
0.304,5.03013,-0.208019,2.1278
0.305,5.04682,0.0644138,2.14468
0.305,5.04469,-0.208314,2.13159
0.306,5.06137,0.0641179,2.14847
0.306,5.05924,-0.20861,2.13538
0.307,5.07592,0.0638217,2.15227
0.307,5.07378,-0.208906,2.13917
0.308,5.09045,0.0635253,2.15606
0.308,5.0883,-0.209202,2.14295
0.309,5.10498,0.0632286,2.15985
0.309,5.10282,-0.209498,2.14673
0.31,5.11949,0.0629317,2.16363
0.31,5.11733,-0.209794,2.15051
0.311,5.13399,0.0626346,2.16741
0.311,5.13182,-0.210091,2.15428
0.312,5.14848,0.0623373,2.17119
0.312,5.14631,-0.210388,2.15805
0.313,5.16297,0.0620397,2.17496
0.313,5.16078,-0.210685,2.16182
0.314,5.17744,0.0617419,2.17873
0.314,5.17525,-0.210982,2.16558
0.315,5.1919,0.0614439,2.1825
0.315,5.1897,-0.21128,2.16934
0.316,5.20635,0.0611456,2.18626
0.316,5.20415,-0.211578,2.1731
0.317,5.22079,0.0608471,2.19003
0.317,5.21858,-0.211876,2.17685
0.318,5.23522,0.0605484,2.19378
0.318,5.23301,-0.212174,2.1806
0.319,5.24964,0.0602494,2.19754
0.319,5.24742,-0.212473,2.18435
0.32,5.26405,0.0599503,2.20129
0.32,5.26182,-0.212771,2.18809
0.321,5.27845,0.0596508,2.20504
0.321,5.27622,-0.21307,2.19183
0.322,5.29284,0.0593512,2.20878
0.322,5.2906,-0.21337,2.19557
0.323,5.30722,0.0590513,2.21252
0.323,5.30497,-0.213669,2.1993
0.324,5.32159,0.0587512,2.21626
0.324,5.31933,-0.213969,2.20303
0.325,5.33595,0.0584508,2.21999
0.325,5.33369,-0.214269,2.20676
0.326,5.3503,0.0581502,2.22373
0.326,5.34803,-0.214569,2.21048
0.327,5.36464,0.0578494,2.22745
0.327,5.36236,-0.214869,2.2142
0.328,5.37897,0.0575484,2.23118
0.328,5.37668,-0.21517,2.21792
0.329,5.39329,0.0572471,2.2349
0.329,5.39099,-0.215471,2.22163
0.33,5.4076,0.0569456,2.23862
0.33,5.4053,-0.215772,2.22535
0.331,5.4219,0.0566439,2.24233
0.331,5.41959,-0.216073,2.22905
0.332,5.43618,0.0563419,2.24604
0.332,5.43387,-0.216375,2.23276
0.333,5.45046,0.0560397,2.24975
0.333,5.44814,-0.216677,2.23646
0.334,5.46473,0.0557372,2.25346
0.334,5.4624,-0.216979,2.24016
0.335,5.47899,0.0554346,2.25716
0.335,5.47665,-0.217281,2.24385
0.336,5.49324,0.0551317,2.26086
0.336,5.49089,-0.217583,2.24754
0.337,5.50748,0.0548285,2.26455
0.337,5.50512,-0.217886,2.25123
0.338,5.52171,0.0545251,2.26824
0.338,5.51934,-0.218189,2.25491
0.339,5.53592,0.0542215,2.27193
0.339,5.53355,-0.218492,2.2586
0.34,5.55013,0.0539177,2.27562
0.34,5.54776,-0.218796,2.26227
0.341,5.56433,0.0536136,2.2793
0.341,5.56195,-0.219099,2.26595
0.342,5.57852,0.0533093,2.28298
0.342,5.57613,-0.219403,2.26962
0.343,5.5927,0.0530048,2.28665
0.343,5.5903,-0.219707,2.27329
0.344,5.60686,0.0527,2.29033
0.344,5.60446,-0.220012,2.27696
0.345,5.62102,0.052395,2.29399
0.345,5.61861,-0.220316,2.28062
0.346,5.63517,0.0520898,2.29766
0.346,5.63275,-0.220621,2.28428
0.347,5.64931,0.0517843,2.30132
0.347,5.64688,-0.220926,2.28793
0.348,5.66344,0.0514786,2.30498
0.348,5.661,-0.221232,2.29158
0.349,5.67756,0.0511726,2.30864
0.349,5.67511,-0.221537,2.29523
0.35,5.69167,0.0508665,2.31229
0.35,5.68922,-0.221843,2.29888
0.351,5.70577,0.0505601,2.31594
0.351,5.70331,-0.222149,2.30252
0.352,5.71985,0.0502534,2.31959
0.352,5.71739,-0.222455,2.30616
0.353,5.73393,0.0499465,2.32323
0.353,5.73146,-0.222762,2.3098
