time,x,y,z
0.317,5.1285,-0.137101,6.43812
0.318,5.14103,0.135941,6.45342
0.318,5.14199,-0.137106,6.45242
0.319,5.1545,0.135936,6.4677
0.319,5.15546,-0.137111,6.4667
0.32,5.16796,0.13593,6.48197
0.32,5.16892,-0.137116,6.48097
0.321,5.1814,0.135925,6.49623
0.321,5.18236,-0.137121,6.49522
0.322,5.19483,0.13592,6.51047
0.322,5.19579,-0.137126,6.50946
0.323,5.20824,0.135915,6.5247
0.323,5.20921,-0.137132,6.52369
0.324,5.22164,0.13591,6.5389
0.324,5.22261,-0.137137,6.53789
0.325,5.23503,0.135904,6.5531
0.325,5.236,-0.137142,6.55208
0.326,5.2484,0.135899,6.56728
0.326,5.24937,-0.137147,6.56626
0.327,5.26176,0.135894,6.58144
0.327,5.26273,-0.137153,6.58042
0.328,5.27511,0.135888,6.59559
0.328,5.27608,-0.137158,6.59457
0.329,5.28844,0.135883,6.60972
0.329,5.28941,-0.137163,6.6087
0.33,5.30176,0.135877,6.62384
0.33,5.30273,-0.137169,6.62281
0.331,5.31506,0.135872,6.63794
0.331,5.31604,-0.137174,6.63691
0.332,5.32835,0.135867,6.65203
0.332,5.32933,-0.13718,6.651
0.333,5.34163,0.135861,6.6661
0.333,5.34261,-0.137185,6.66506
0.334,5.35489,0.135856,6.68015
0.334,5.35587,-0.137191,6.67912
0.335,5.36814,0.13585,6.6942
0.335,5.36912,-0.137196,6.69316
0.336,5.38138,0.135844,6.70822
0.336,5.38236,-0.137202,6.70718
0.337,5.3946,0.135839,6.72223
0.337,5.39559,-0.137207,6.72119
0.338,5.40781,0.135833,6.73623
0.338,5.4088,-0.137213,6.73518
0.339,5.421,0.135827,6.75021
0.339,5.42199,-0.137219,6.74916
0.34,5.43418,0.135822,6.76417
0.34,5.43518,-0.137224,6.76312
0.341,5.44735,0.135816,6.77812
0.341,5.44835,-0.13723,6.77707
0.342,5.46051,0.13581,6.79206
0.342,5.4615,-0.137236,6.791
0.343,5.47365,0.135804,6.80598
0.343,5.47464,-0.137242,6.80492
0.344,5.48677,0.135799,6.81988
0.344,5.48777,-0.137247,6.81882
0.345,5.49989,0.135793,6.83377
0.345,5.50089,-0.137253,6.83271
0.346,5.51299,0.135787,6.84765
0.346,5.51399,-0.137259,6.84658
0.347,5.52608,0.135781,6.86151
0.347,5.52708,-0.137265,6.86044
0.348,5.53915,0.135775,6.87535
0.348,5.54016,-0.137271,6.87429
0.349,5.55221,0.135769,6.88918
0.349,5.55322,-0.137277,6.88811
0.35,5.56526,0.135763,6.903
0.35,5.56627,-0.137283,6.90193
0.351,5.57829,0.135757,6.9168
0.351,5.5793,-0.137289,6.91572
0.352,5.59131,0.135751,6.93058
0.352,5.59233,-0.137295,6.92951
0.353,5.60432,0.135745,6.94435
0.353,5.60533,-0.137301,6.94328
0.354,5.61731,0.135739,6.95811
0.354,5.61833,-0.137307,6.95703
0.355,5.63029,0.135733,6.97185
0.355,5.63131,-0.137313,6.97077
0.356,5.64326,0.135727,6.98558
0.356,5.64428,-0.137319,6.98449
0.357,5.65622,0.13572,6.99929
0.357,5.65724,-0.137326,6.9982
0.358,5.66916,0.135714,7.01299
